date,wti,brent,convgas_ny,convgas_gulf,rbob_la,heating_oil,diesel_nyc,diesel_gulf,diesel_la,kerosene,propane,mttstus1,mtestus1,mcrstus1,mcestus1,mcsstus1,mgtstus1,mgfstus1,mgrstus1,mg1stnus1,mg4stnus1,mg5stnus1,mg6stnus1,mbcstus1,mkjstus1,mdistus1,md0stnus1,md1stnus1,mdgstus1,mrestus1,mprstus1,mkestus1,mcrfpus1,mcrfpp11,mcrfpp21,mcrfpp31,mcrfpp41,mcrfpp51
Jul-2006,74.41,73.67,2.237,2.27,2.488,1.935,2.217,2.231,2.209,2.154,1.165,1742897,1055052,1019389,331544,687845,208864,117930,2863,46,115067,9,115058,90934,39604,137506,35050,43483,58973,42973,58401,2453,157884,598,14467,89455,11232,42131
Aug-2006,73.04,73.23,2.038,2.001,2.19,1.984,2.247,2.233,2.3,2.133,1.138,1762790,1074950,1020691,332851,687840,208986,116560,3111,50,113449,7,113442,92426,39513,145083,43525,39252,62306,41922,64259,2516,156176,618,14494,89551,11282,40231
Sep-2006,63.8,61.96,1.583,1.56,1.782,1.699,1.81,1.789,1.984,1.81,1.012,1784991,1097154,1020557,332720,687837,214127,120495,3000,42,117495,50,117445,93632,41856,149308,55418,31684,62206,43430,71071,2793,150896,590,14131,85120,11001,40054
Oct-2006,58.89,57.81,1.506,1.51,1.686,1.648,1.794,1.784,1.809,1.739,0.938,1769039,1080434,1027920,339315,688605,204604,112819,1636,44,111183,54,111129,91785,41861,142843,52796,26718,63329,42018,72365,3112,158334,583,14368,88680,11396,43307
Nov-2006,59.08,58.76,1.588,1.563,1.797,1.648,1.811,1.797,1.89,1.733,0.954,1745091,1056486,1023105,334500,688605,204031,113798,1661,46,112137,75,112062,90233,37674,140626,52565,25303,62758,43441,68543,3151,151922,577,14013,86233,11000,40100
Dec-2006,61.96,62.47,1.67,1.597,1.805,1.684,1.833,1.791,2.023,1.81,0.966,1719506,1030901,1000881,312276,688605,211806,116097,1601,25,114496,54,114442,95709,39129,143651,56726,27269,59656,42397,61599,3373,160782,559,14589,88999,11154,45480
Jan-2007,54.51,53.68,1.432,1.41,1.682,1.528,1.63,1.639,1.834,1.654,0.893,1724025,1035420,1013154,324549,688605,227425,124256,1051,62,123205,53,123152,103169,39137,139608,60355,25173,54080,42329,46974,2788,158238,616,13409,88403,10940,44870
Feb-2007,59.28,57.56,1.64,1.612,2.019,1.693,1.759,1.777,2.006,1.74,0.975,1666218,977614,1006176,317572,688604,215327,115992,996,53,114996,38,114958,99335,38667,123723,57768,24055,41900,35836,29955,2413,143619,546,12765,80429,10101,39779
Mar-2007,60.44,62.05,1.938,1.85,2.373,1.742,1.891,1.97,2.038,1.846,1.037,1677595,988993,1019477,330875,688602,201570,109169,1965,59,107204,33,107171,92401,40147,120007,57498,21923,40586,39610,26867,2259,158481,652,14754,87848,11469,43758
Apr-2007,63.98,67.49,2.105,2.162,2.531,1.864,2.053,2.092,2.177,2.036,1.108,1693793,1004401,1031363,341971,689392,196921,108493,1789,53,106704,20,106684,88428,40265,121311,62038,23706,35567,38360,29533,2050,155234,591,14300,86660,11272,42411
May-2007,63.46,67.21,2.245,2.305,2.572,1.884,2.044,2.045,2.133,2.044,1.149,1723737,1033467,1043577,353307,690270,202746,114519,2053,56,112466,268,112198,88227,41498,125083,68168,22798,34117,36532,36516,1943,161344,605,14897,89595,11707,44540
Jun-2007,67.49,71.05,2.186,2.155,2.354,1.991,2.12,2.093,2.251,2.099,1.139,1729597,1039327,1044341,354071,690270,205546,116639,2061,39,114578,133,114445,88907,41087,123800,67020,24364,32416,36124,43658,2024,152168,587,14132,84804,11188,41456
Jul-2007,74.12,76.93,2.137,2.128,2.311,2.072,2.146,2.144,2.321,2.137,1.19,1733466,1043196,1026994,336724,690270,205097,114241,2012,44,112229,191,112038,90856,42007,130297,66673,26248,37376,39672,49714,2222,156154,577,14908,86374,11396,42899
Aug-2007,72.36,70.76,2.004,1.966,2.049,1.984,2.106,2.116,2.165,2.092,1.186,1715657,1025220,1010976,320539,690437,193968,110623,1895,54,108728,151,108577,83345,40973,134569,69122,23984,41463,36383,54782,2166,154559,607,15594,86310,11547,40501
Sep-2007,79.92,77.17,2.102,2.111,2.208,2.179,2.32,2.294,2.269,2.265,1.295,1716535,1023732,1003915,311112,692803,199986,113215,1761,55,111454,18,111436,86771,42884,134236,66888,24213,43135,37035,58299,2114,147074,605,14878,81477,11051,39062
